index,query,question_type,true_label,prediction,correct
73,Is the sum of first three value of blue graph greater than 200?,0,No,No,1
74,How many colored graph are used to represent the data?,0,2,2,1
75,What's the ratio(A:B) of largest value of green graph and smallest value of blue graph?,0,1.634722222,39:14,0
76,What is the rightmost value of red bar?,0,88,88,1
77,What is the average of highest value of blue graph and rightmost value of red graph?,0,91.5,91.5,1
78,What is the colour of Support Rep candidate in the chart?,0,Red,Red,1
79,What is the sum value of Support Dem candidate and Support Rep candidates in the year Oct 14?,0,131,131,1
80,What is the value of Support Rep candidate in the year Sept 2014?,0,0.52,52,0
81,Is the value of voters who says they are more enthusiastic than usual about voting in Support Rep candidate more then Support Dem candidates?,0,Yes,No,0
82,What's the blue graph represent?,0,NET Excellent/ good,NET Excellent/good,0
83,Is the product of two smallest value of orange graph greater than 1000?,0,Yes,Yes,1
84,Is the color of Yes graph green?,0,Yes,Yes,1
85,Is the difference between blue and green graph in 2008 the maxiumum among years?,0,No,No,1
86,What's the color of graph whose value is 40 in 2017?,0,Red,Red,1
87,What's the sum of all the values below 20 in red graph?,0,34,34,1
88,What's the color of graph whose rightmost value is 19?,0,Green,Green,1
89,Is the sum of two leftmost value of blue graph greater than 90?,0,No,No,1
90,What's the color of the graph whose lowest value is 31?,0,Blue,Blue,1
91,In which time period the difference between blue and orange graph minimum?,0,Jan 2018,Jan. 2018,0
92,What's the highest value of blue graph?,0,0.88,88,0
93,Is the average of highest and lowest value of green bar greater than 80?,0,No,No,1
94,What's the color of graph whose rightmost value is 83?,0,Green,green,1
95,Is ratio of peak value of green and blue graph 84:83?,0,Yes,Yes.,0
96,Does the blue line has maximum value of 88%?,0,Yes,Yes,1
97,Is the sum of two smallest value of blue graph greater than smallest value of green graph?,0,Yes,Yes,1
98,In which year the value of green graph is lowest?,0,2014,2014,1
99,Is the sum of all the values in 2017 smaller than sum of all the values in 2005?,0,No,No,1
